,game,LreLU,SPAU,PAUS,max_both
14,VideoPinball,439.6,906.0,1615.6,1615.6
2,Breakout,558.5,1211.2,1136.0,1211.2
11,Tennis*,27.3,809.0,807.0,809.0
12,TimePilot*,14.9,253.4,341.5,341.5
4,Jamesbond*,8.6,312.3,308.0,312.3
0,Asterix*,1.9,172.7,248.2,248.2
5,Kangaroo*,11.8,192.7,107.4,192.7
3,Enduro*,16.4,129.3,140.9,140.9
13,Tutankham*,0.0,134.1,130.4,134.1
7,Qbert*,55.4,116.6,119.5,119.5
6,Pong,101.0,107.4,107.1,107.4
10,SpaceInvaders,33.9,95.1,42.4,95.1
1,BattleZone,11.4,77.4,70.1,77.4
8,Seaquest,0.6,18.4,16.3,18.4
